Trabalhadores da industria 	variacao_trabalho_industria	eleitorado	abstencao	bolso1	haddad1	ciro	outros	brancos1	nulos1	abstencao2	bolso2	haddad2	brancos2	nulos2	catolicos	evangelicos	espiritas	afro	otras_relig	s_relig	asia	bovino_18_08	suino_18_08	galo_18_08	var_soja_areacolhida_18_08
Acre	-0,04	547 608 	103 974 	262 508 	78 170 	21 809 	59 291 	5 499 	16 537 	148 461 	294 899 	86 977 	6 594 	10 659 	50,73	32,7	0,6	0,0	2,9	11,8	0,1	0,397564195222764	-0,043532115949432	0,522405483308572	0,178932613905259
Alagoas	-0,4	2 187 948 	494 445 	528 355 	687 247 	155 457 	164 687 	46 692 	111 065 	543 276 	610 093 	912 034 	25 919 	96 413 	72,3	9,9	0,5	0,1	6.5	4,7	0,1	0,033840980167156	-0,028572975460538	0,417839065807109	-0,359773349673944
Amapá	0,01	512 119 	85 499 	166 935 	134 287 	50 553 	57 982 	4 739 	12 124 	117 178 	185 096 	183 616 	6 589 	19 638 	70,89	28	0,4	0,0	2,3	5,5	0,3	-0,482781942711261	0,084538688386463	0,521639260582638	0,774002662853198
Amazonas	-0,14	2 428 842 	469 964 	805 902 	746 998 	138 997 	161 697 	29 010 	76 277 	519 542 	885 401 	875 845 	29 353 	118 680 	67,68	31,2	0,4	0,0	2,9	6	1,2	0,077750041456423	-0,389313081460924	0,128964708644878	-0,150212384243991
Bahia	0,15	10 392 015 	2 155 168 	1 725 140 	4 441 955 	693 273 	508 177 	169 806 	697 750 	2 191 618 	2 060 382 	5 484 901 	107 203 	547 841 	71,39	17,4	1,1	0,3	4	12,0	0,0	-0,001525443261692	-0,357301358730521	0,506447266635431	-0,086635533713322
Ceará	0,14	6 343 897 	1 099 185 	1 061 075 	1 616 492 	1 998 597 	203 991 	111 881 	252 676 	1 185 505 	1 384 591 	3 407 526 	78 178 	288 048 	81,08	14,6	0,6	0,0	1,8	4,0	0,2	-0,006090643267821	0,016553631905964	0,265862465030591	-0,283504098466151
Distrito Federal	-0,12	2 085 825 	390 101 	936 494 	190 508 	266 272 	211 243 	31 995 	59 212 	394 690 	1 080 411 	463 340 	44 657 	102 988 	55,88	25,8	3,5	0,2	3,7	9,2	1,0	-0,172303921568628	0,00536482106238	-0,062322748820039	0,374005953736265
Espírito Santo	-0,11	2 754 739 	530 480 	1 122 131 	495 868 	195 553 	235 596 	61 910 	113 201 	575 920 	1 276 611 	747 768 	51 580 	102 536 	57,04	33,1	1	0,2	2	10,4	1,1	-0,082847979298064	-0,105652513873179	0,715484751221541	-0,281158976577224
Goiás	0,61	4 454 402 	899 468 	1 868 686 	713 535 	280 864 	401 704 	81 276 	208 869 	962 605 	2 124 739 	1 118 060 	59 568 	189 457 	65,42	28,1	2,5	0,0	2,5	8,1	0,0	0,091507219923906	-0,026139128757915	0,789211699932129	0,494952141288936
Maranhão	-0,05	4 536 954 	931 732 	817 511 	2 062 592 	282 467 	204 301 	60 408 	177 943 	1 059 456 	886 565 	2 428 913 	42 274 	119 765 	78,04	17,2	0,2	0,0	1,5	6,3	0,3	0,163156828386416	-0,253316090651517	0,078220778654774	0,139435162806942
Mato Grosso	0,3	2 330 024 	572 086 	981 119 	404 604 	91 344 	157 069 	33 540 	90 262 	611 134 	1 085 824 	549 001 	23 071 	60 981 	70,63	24,5	1,3	0,1	3	6,6	1,1	0,168759439280985	0,390478269076495	0,154678856108095	0,749028152385706
Mato Grosso do Sul	0,25	1 877 705 	398 397 	769 116 	333 407 	112 296 	182 126 	30 951 	51 412 	427 770 	872 049 	465 025 	27 014 	85 889 	63,70	26,5	1,9	0,0	3	9,2	2,0	-0,130690631673514	0,436771690808218	0,173343053239496	0,694507279178166
Minas Gerais	0,7	15 698 955 	3 484 274 	5 308 047 	3 037 957 	1 278 819 	1 362 891 	381 959 	845 008 	3 631 561 	6 100 196 	4 383 099 	309 050 	1 275 157 	73,32	20,2	2,1	0,0	2,3	3,9	1,1	-0,019974017559843	0,115145722090812	0,21874987709428	0,126139492945976
Pará	0,2	5 498 941 	1 097 143 	1 499 294 	1 714 822 	415 593 	513 026 	70 590 	188 473 	1 280 769 	1 742 188 	2 112 769 	60 908 	302 178 	66,55	25,8	0,4	0,1	2,1	7	0,9	0,23875824968094	-0,042219361579075	1,33378853977784	0,2170587210153
Paraíba	0,13	2 868 028 	431 154 	677 718 	984 398 	362 775 	140 653 	67 039 	204 291 	460 754 	782 143 	1 451 293 	36 933 	136 900 	80,25	15,1	0,6	0,1	1,4	5,7	0,1	0,046504987559412	0,701227159655481	0,127559803703845	-0,473663122000124
